Agro climate zone,crop,Area
Northern Telangana Zone,Rice,2.67
Northern Telangana Zone,Maize,0.85
Northern Telangana Zone,Jowar,0.17
Northern Telangana Zone,Bengalagram,0.39
Northern Telangana Zone,Greengram,0.064
Northern Telangana Zone,Sesame,0.13
Northern Telangana Zone,Groundnet,0.117
Northern Telangana Zone,Sunslower,0.086
Central Telangana Zone,Rice,1.5
Central Telangana Zone,Maize,0.69
Central Telangana Zone,Bengalagram,0.25
Central Telangana Zone,Greengram,0.071
Central Telangana Zone,Blackgram,0.049
Central Telangana Zone,Groundnet,0.301
Central Telangana Zone,Sunslower,0.086
Southern Telangana Zone,Rice,1.119
Southern Telangana Zone,Maize,0.21
Southern Telangana Zone,Bengalagram,0.55
Southern Telangana Zone,Groundnet,1.07
Southern Telangana Zone,Safflower,0.06
Southern Telangana Zone,Sunslower,0.012
